Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
78,7.5,3.8,6.0,-0.2,Iris-virginica
93,5.8,2.8,2.5,-1.4,Iris-setosa
67,4.9,2.3,4.9,-1.2,Iris-setosa
91,6.3,3.5,5.6,2.1,Iris-virginica
85,5.0,2.2,4.8,1.4,Iris-versicolor
67,6.5,3.8,6.6,2.2,Iris-versicolor
99,5.2,3.8,2.0,0.5,Iris-setosa
27,7.1,3.1,6.2,2.6,Iris-virginica
55,5.4,3.3,4.4,1.8,Iris-versicolor
99,6.1,4.8,3.5,1.0,Iris-setosa
65,6.3,2.2,2.1,0.1,Iris-setosa
85,6.6,3.3,5.8,2.0,Iris-versicolor
78,7.1,2.2,5.1,1.6,Iris-versicolor
91,6.3,2.7,4.9,6.5,Iris-virginica
27,4.8,3.5,5.2,0.9,Iris-virginica
82,5.8,2.5,5.8,1.2,Iris-virginica
99,5.9,2.2,4.8,1.4,Iris-setosa
55,7.5,2.8,6.2,3.5,Iris-virginica
54,7.1,3.0,5.9,2.2,Iris-virginica
85,6.4,2.9,5.6,0.7,Iris-versicolor
98,10.3,6.1,6.4,3.2,Iris-virginica
43,5.1,2.1,4.1,1.2,Iris-versicolor
51,4.8,3.1,1.8,1.7,Iris-versicolor
42,5.5,2.2,5.2,1.4,Iris-versicolor
50,4.8,2.0,1.7,0.6,Iris-setosa
97,6.9,2.1,4.5,1.5,Iris-setosa
81,5.4,2.3,3.4,1.4,Iris-versicolor
41,5.4,3.6,1.1,0.7,Iris-setosa
67,6.2,4.7,3.4,3.2,Iris-setosa
98,3.1,1.9,1.2,0.5,Iris-setosa
85,5.1,4.0,2.5,0.8,Iris-setosa
59,8.2,4.8,6.4,2.6,Iris-virginica
67,5.0,3.2,4.8,1.3,Iris-versicolor
61,7.6,3.3,2.2,0.8,Iris-virginica
87,6.4,2.7,6.3,2.9,Iris-virginica
67,6.8,2.1,0.5,-1.1,Iris-setosa
85,5.8,2.6,4.9,1.2,Iris-versicolor
20,5.5,2.1,4.6,-0.2,Iris-virginica
75,7.0,3.4,6.8,1.7,Iris-virginica
67,5.8,4.0,2.1,1.7,Iris-virginica
60,5.2,2.3,6.4,2.9,Iris-versicolor
67,5.9,2.2,6.0,1.1,Iris-versicolor
61,5.1,3.2,2.7,-0.4,Iris-setosa
85,5.9,2.3,5.6,2.1,Iris-versicolor
