review,sentiment
"A lot about USA The Movie can be summed up in its title. It draws parallels between the attitudes of this country in the face of war and a kind of Hollywood-like falseness that glorifies things that shouldn't be glorified. I'm not sure I agree with the filmmaker's take on recent events (although, truthfully, I can't always tell exactly where he stands) but I admire the unusual and artistic way of getting the point across. Audio tracks of speeches, radio interviews, poetry etc. play as large a role here as visuals. Most of the time the visuals of the story are accompanied by these audio elements to good effect. I'm kind of a radio buff so it was satisfying to hear the way that radio was integrated into the pace of the movie. In fact, most of the dialog takes place over the story rather than having characters talk to one another. That's not to say that there aren't ""characters"" (real people), but except for ""Jim"" the protagonist ( a kind of '60's drop out with an erratic state of mind) the others come and go pretty quickly. A few make a very powerful impression, especially a guru-like taxi driver who seems to be the voice of wisdom itself. When he breaks out into a spontaneous song of prayer while driving Jim to the subway, it is a very powerful moment. On the cover of the DVD is the quote ""The danger is clear"" which is taken from President Bush's speech that paved the way to our incursion into Iraq. In retrospect, hearing that speech at a climactic moment in the film brought home how we are living in a historically charged moment which will always be remembered.",positive
"This movie is truly amazing,over the years I have acquired a taste for Japanese Monster movies and am well aware that early examples of this genre can be poor. However this one reaches a new low, as it follows the adventures of Johnny Sokko(?), a young boy who controls a Giant Robot, and his fight against the evil Gargoyle Gang, who seem to have an endless supply of horrid giant monsters at their disposal.",negative
"Take a clichÃ© story and insert Steve Guttenberg.Need i say anymore?This truly is as bad as you would expect. Sheriff Tom Palmer(Guttenberg)and Anna Montgormery attempt to transform a group of useless,inept kids into a winning soccer team.Lacking originality and direction from the offset it's quite a struggle to maintain any form of interest in this film. Despite my reservations about Guttenbergs acting ability i can safely say that the acting of the rival teams coach is actually worse than Guttenbergs.Previously unimaginable i thought. This type of story of underdogs battling all the way to the top has been done before and better every time than this so called 'film'",positive
"First of all, no one with any law enforcement experience (Not ER or EMT, but real law enforcement) takes this show seriously. Walker would be drummed out of any police force in the US for his illegal and totally unprofessional tactics. On top of that, he is a comic book character---no acting ability, incredibly trite lines, no character development. The fact that Alex Cahill loves him shows just how dumb blondes really are. And Trivett is the ultimate clown in black-face. Come on---if you think Walker is a heartfelt show without bias, then explain why JT is treated as a dolt, always is the subject of Walker's jokes, never is allowed to be the one to solve the crime, and never rescues Walker, who should be dead 50 times over for the stupid things he does. While it may be true that many criminals are even dumber than the detectives who go after them (and believe me, most cops are dumber than dirt), the smart ones Walker comes up against never seem to get the point that once Walker is captured, the jerk needs to be put of his misery. But then again, Norris produced the show as well as starred in it, so how could he willingly get rid of himself or even show how stupid his tactics are. As if six guys are going to wait around to take him one at a time. What a terrible series! It is more demeaning than any of the hokey westerns like The Lone Ranger, Roy Rogers, The Cisco Kid, and Wild Bill Hickock, though I would imagine that most of you on here are far too young to remember those shows. But like those shows, in the same way as those shows, Walker TR is just as insulting and just plain silly.",negative
"This film is like a dirge. UNTIL it gets to musical numbers which are like MIND F*CK, but gentler, like a mind caress. MIND FOREPLAY. The depressing vibe given from the speed & desperateness of the characters can be pretty Kill-Yourself-Awesome UNTIL you get to the musical numbers. It's a great film. Optimistic. Weird. Manic-depressive(Bipolar). That's it! THIS MOVIE IS BIPOLAR. anyway see it. IT'S A MUSICAL!!! WITH DEPTH!!!! If you like the existential dross like The Stranger, or Waiting for Godot, Then your probably get a real kick out of this one. I had to get the DVD through Amazon.com for like 12$. OH & the songs rock. well they rock but they aren't rock, there like calypso, jazz, Broadway, but by Grace Chung, & I can't find the soundtrack NOWHERE< but i wanna the songs are great, & the dances are so fun.",positive
"Here's an oddity: a modern-day film about a serial killer that has no fight scenes, nobody seen dying, no car chases and no loud noises.....and it takes place in Russia. There are only two short action scenes but they are horrific.<br /><br />The rest of the story is detective work, and how much red tape the poor detective had to go through to solve the murders. This is a very somber movie, and ""somber"" best describes the personality of the hero (Stephen Rea), as well. Yet, the story is not depressing and it's very interesting all the way through.<br /><br />Rea is outstanding as the determined, harried-looked detective. Jeffrey DeMunn is downright scary as the killer. Donald Sutherland's Russian accent is suspect but he plays the only character in this film that has some warmth.<br /><br />Once again, the story is dotted with liberal agendas, here and there, with not one but two references to bias against gays, the total validity of secular psychology, police and government officials being boorish/crude/bigoted, yadda, yadda, yadda. <br /><br />Otherwise, it's an intelligent and refreshingly low-key crime film. This is a somewhat unique film that probably is not well-known but is well-liked by the people who have seen it. Since it's based on a true-life account of this killer, it's all the more chilling. Don't pass this by just because you haven't anything about it.",positive
"If you are a bit masochistic and like to waste some time you should try this one. I wasted enough time myself watching it, so I will waste no more explaining why it is so awful. Be warned!!! Oh, I see that I have to fill 10 lines or more. Here we go: every year or so some people think it is fun to start shooting a low budget film about the scary monsters of the underground, that hopefully will prove to be some sort of a hit. The Cavern is one of those. I didn't have high expectations about this one but the acting is so bad and the production so poor that I'm seriously thinking of asking for a refund. Phewww ... one more line about a useless movie ... Oh, I'm done.",negative
"I knew as soon as I saw the first trailer for Black Snake Moan that I would have to see it. I was not disappointed in the slightest in the film, which was written and directed by Hustle and Flow's creator Craig Brewer. It tells the story of a broken blues man and the nymphomaniac he aims to cure not just for her sake, but also his own...yet it's so much more than that. It's complex and rich and it manages to steep you in a gritty, sticky, sultry blue Memphis without making you feel like you need a bath afterward.<br /><br />The characters are (for the most part) multifaceted and very well-written and performed. The accents and the dialogue were carried off flawlessly. However, there was one weak link in the chain: Justin Timberlake. The best I can say for him is that he can pull off crying...it's a rare male actor who can cry convincingly. However, Justin's Ronnie was flat, but as an actor he was trying very hard. I would definitely give him another chance.<br /><br />Lazarus and Rae (Samuel L. Jackson and Christina Ricci respectively) have a great chemistry and a great respect for each other. This is one of those films where it doesn't matter how good one actor is if the other one isn't up to the task and, luckily, both of the actors were up to the task.<br /><br />The music was very bit as good as you would expect, especially when Mr. Samuel L. Jackson sings the blues. Phenomenal.<br /><br />On the technical side, all was brilliance as far as I could see. It was well-edited, well shot, and well-mixed...everything was great. The character and set designs were just right, the casting of the supporting characters (even Justin Timberlake and especially Kim Richards) was spot on... Loved it.",positive
"I've just watched Roll and what a pleasure it turned out to be. Toby Malone's performance really stood out, I found myself actually caring about what happens to Matt throughout the whole of the film, which itself is a lot of fun, very pacey with a good mix of well rounded characters, quite an achievement considering it's short running time. There are plenty of good twists throughout as well, it will keep you guessing until the end. Other characters to watch out for are the totally insane Tiny and the sneaky attractive Jesse. It may not have the huge budget of a Hollywood blockbuster but don't let that put you off, you could do a lot worse than checking this out, you won't regret it. Good Fun. 7/10",negative
"Textbook example of an underestimated movie.<br /><br />Although one can watch this movie over and over again and laugh every single time and still see something new in it, it's still regarded as just another funny picture. And although the movie has inspired many and added it's quotes and images to the pyche of all it's viewers, Moon Over Parador still hasn't received the acclaim it should. Even the brilliant cast with Academy Award winner Richard Dreyfuss and Raul Julia, to mention one, is not able to change this perception.<br /><br />But after watching Raul Julia as Roberto Strausmann make Richard Dreyfus an offer he can't refuse in a meatlocker by reading him a good review of a part that he once played one can only come to one conclusion: this stuff is timeless! In fifty years we will have the proof.",positive
"The entire movie, an artful adaptation of one of Joyce's ""Dubliners"" stories, takes place on the night of January 6 (Epiphany), 1906. Most of the film takes place at an annual party given by three spinsters (two sisters and their niece), where a group of upper-class Dubliners gather for an evening of music, recitations and dinner. While there is very little plot per se, the interaction and conversation among the group reveals much about Dublin in the early 20th century when the stirrings for independence were just beginning. The cast, all talented Irish stage actors with the exception of Anjelica Huston, are universally wonderful, and one actually feels he is a guest at the gathering himself. The poignant final scene, between Ms. Huston and the amazing Donal McCann, reveals much about the marriage of the characters. There is poignancy mixed with humor and insight, and for those who like quiet, thoughtful movies, ""The Dead"" is highly recommended. My wife is from Dublin, we make a ritual of watching this wonderful movie every January 6th. After many viewings it never fails to move me, and each time I glean something that I've missed before.",positive
"A few days ago, I watched a documentary called THE FIFTY WORST MOVIES OF ALL TIME and this is where I first heard of THE INCREDIBLE MELTING MAN. Being a lover of schlocky films, I am making it a point to try to find some of the films from the documentary--not just including THE INCREDIBLE MELTING MAN. In fact, MELTING MAN is the first ""bad film"" I have seen since then and I must say I am rather disappointed. While it truly is a bad film, it comes nowhere near close enough to make inclusion on this list.<br /><br />Now before seeing the documentary, I have enjoyed ""bad films"" ever since I read the book ""The Fifty Worst Movies of All Time"" by Harry Medved. Despite the same title, the book came out long, long before the documentary and the makers of the documentary never credited Medved with the concept. From the Medved book, I have seen about 35 of the 50 films but have come to an impasse--the rest of the films just aren't available on VHS or DVD. So, I thought I'd try the film by the same name.<br /><br />The reason I was most disappointed with THE INCREDIBLE MELTING MAN was that there were a few good elements to the film. First, the melting guy special effects were generally really cool and disgusting. It's obvious that a professional (the famous Rich Baker) was involved in making this look realistic. However, I should also point out that there were also more than a few cheap and cheesy effects as well--such as the floating plastic head and the way the monster ran around after his left arm was cut off--you could see it ""cleverly hidden"" under his clothes! As for the story, it's just stupid. A group of astronauts miraculously penetrate the rings of Saturn without being crushed. Then, they comment about how beautiful the sun is--as we see closeups of it. This is odd since Saturn is so far from it--it should NOT look this way--it should be a large speck. Regardless, immediately the scene changes and we're told that one of the surviving astronauts is in a hospital. What happened between the last scene and this one? Yep, it's anyone's guess. Well, soon after, the survivor escapes and engages in a murderous rampage as his entire body melts.<br /><br />Now considering they have a psycho running about who looks like a melting popsicle, you'd think the government would pull out all stops to find and stop him, right?! Wrong. A general engages one lone doctor to find him!! No army, no police--just some dopey doctor. Even after bodies begin stacking up, at no point do the doctor or general do anything to organize a meaningful search or get backup.<br /><br />Now, given the stupidity of the film, you also wouldn't be surprised to find the following: <br /><br />When the melting dude is running around near the doctor's house, the doctor gives his wife a powerful sedative and leaves her in the house.<br /><br />When a cute old couple is driving late at night, they naturally stop in an orchard to pick fruit and are killed.<br /><br />When a lady sees melting dude, she barricades the door to protect herself. This would be smart IF she didn't have the back door of the house next to her! Instead of just leaving the house and escaping, she just waits! <br /><br />When a photographer and his model are taking snapshots, the guy grabs his assistant and yanks off her top. Why? Well to give the audience a cheap thrill and make it a rated R flick.<br /><br />When the melting dude is finally located and the sheriff has a clear shot at him, the doctor stops him--even though by now the monster had killed about a half dozen people.<br /><br />So, as you can see the film abounds with stupid plot elements. It is a very bad film. But, given the occasionally good special effects, it just wasn't a horrible film like I'd hoped. Sure, it's good for a laugh, but no where near PLAN 9 FROM OUTER SPACE in badness and never should have been included on anyone's worst film list.",negative
"Wenders was great with Million $ Hotel.I don't know how he came up with this film! The idea of giving the situation after spt11 and the view of American Society is hopeful,that makes it 2 out of ten.But this is not a movie.Is that the best someone can do with a great idea(the west-east clash).There are important things going on in middle east and it is just issued on the screen of a MAC* with the fingers of an Amerian girl who is actually at the level of stupidity(because she is just ignorant about the facts).The characters are not well shaped.And the most important thing is the idea that is given with religion is somehow funny to me.At the ending scene Lana says lets just be quiet and try to listen.And the background music says ""...I will pray"".The thing is not about religion actually.But it ends up with this.How you are gonna see the truth if you just close your eyes and pray.The lights are already shining on the truth.Its just that nobody wants to see it. ps: ""My home is not a place.It is people""The only thing that gets 10 out of 10 is that sentence.But it is wasted behind this film making. (by the way; as ""someone"" mentioned below ,Americas finest young man are not finest,they are just the ""poor"" and the ""hopeless"" ones who sign up for the army in need of good paychecks which is not provided by the government ! )",negative
"I don't ever remember reading Sarah, Plain and Tall in school, but when my son told me about it and said they watched the movie in class, I wanted to see it too. I borrowed the video from the library and watched it as a family. It was a wonderful story. However, I didn't know until a few months ago that there were sequels. I finished watching those this week. I discovered one small oops: in the second movie, Skylark, Jacob is reminiscing when he was a boy, and tells Sarah ""my brothers and sisters and I would dream..."". In Winter's End, those ""brothers and sisters"" don't exist in conversations between Jacob and his father. But it is a very small oops, and I only caught it watching the trilogy, the second time around. Great movie, a must see for good wholesome family viewing.",positive
"Ouch, what a painfully BORING Sci-Fi movie! And that's especially saddening because the opening 15 minutes were so action-packed and full of potential! During the intro, we follow a bunch of nervous security officers and hired hit men as they chase a doctor who escaped from a mysterious laboratory with a briefcase full of top-secret files. As he's about to reveal the supposedly horrible & inhuman events that take place in the lab, he's executed. FiguresÂ… From then on, the 'action' swifts back and forth between two locations, the aforementioned laboratory and the rural mansion of a corrupt senator (or something), and it quickly becomes clear that the experiments are actually the complete opposite of disturbing. More like dull, pointless and vague. Scientists selected four random persons without living relatives and it's really really really really important that they speak the truth even though a giant machine reads the content of their minds, anyway. They all hide dark secrets from their pasts and people suffer when get revealed; yet I fail to see how these tests could ever result in a humanity-threatening device. Perhaps I missed something, but I doubt it. The interactions between the patients and doctors are even less interesting to follow, as really none of them have personalities. So basically, ""The Brain Machine"" just handles about a bunch of lame people living in an awfully decorated room. The film also could have been half an hour shorter if it weren't for a THOUSAND stagnant shots of buildings! The relocations from the lab to the villa and vice versa are indicated EVERY SINGLE TIME by a five-second shot of the places. Either the makers really needed the padding or they just assumed that all Sci-Fi viewers are morons unable to notice a change of location by themselves. Staring at a forsaken pool with a mansion in the background for the tenth time in only five minutes becomes quite annoying, I assure you. James Best's performance as the reverend with mental issues is rather decent, but one man definitely can't save this thing from being an absolute waste of time. Avoid!",negative
"What a waste of energy and money. What a waste of what talent there was.<br /><br />Emilio Estevez was completely wasted and mostly unused throughout. Jon Lovitz was very mildly amusing but pointless. Harry Dean Stanton - why bother? And was it just me or can Kari Wuhrer barely act in this one.<br /><br />The story was pretty non-existent and really disjointed. One of my biggest problems was the reaction of the characters to the events that transpired. Like the surf ""dudes"" giving up their lives every time they were threatened in the last half? How about that you NEVER saw them surf once!! The set-up to some scenes took way to long with not enough pay-off to make us give a damn. Nothing in this ""movie"" felt really true or genuine.<br /><br />The only good things I can say is some (very little) of the scenery was filmed nicely and a few scenes were mildly interesting. Don't see this when there is so many better pointless movies out there.",negative
"Wow...where to begin...picked this up at Big Lots for only $2.99. That's three bucks I'll never see again...ever...and for what? I'll tell ya. An hour and fifteen minutes of boring, boring, boring chat and college angst that seemed more suitable for a Lifetime movie than the horror flick advertised on the box. (May the marketing droids who designed it burn in Hell for all eternity). Follow that up with a little bit of cheap gore (not even good gore mind you...) and a plot twist at the end that comes out of nowhere, and makes no sense. Awful, awful, awful...<br /><br />Was there any redeeming qualities? Well, on the Joe Bob Briggs scale, there WERE six breasts involved, but that's hardly worth my long lost three bucks. Without those, this coulda been on Sci-Fi at, say, two or three in the morning...<br /><br />Bmoviefreak",negative
"For people interested in business and the corporate world, this show is simply the best of the best. As one of the former contestants of the show wrote in his blog about this innovative show: People in business finally had an audience. The whole idea is perfect; having a group of businesspeople competing against each other in business-related tasks, set in the best place in the world, New York City. Donald Trump is perfect as the boss, even though his ego is bigger than the whole universe times infinity. He also makes a lot of questionable decisions about whom to fire, which is one of the negatives about the show.<br /><br />Season 1: Great season overall, the best season of the ""normal"" ones. This season was the one that was most about actual business skills. Later on the series almost drowned in marketing related tasks with way too many product placements. Great and interesting contestants overall, with the most likable character ever in this series: Troy. I know I'm not the only person who suspect that the Trump World Tower-episode where he got fired was rigged to have Amy and Nick win this particular task.<br /><br />Season 2: Also a great season. The tasks were still pretty much OK, and it had many interesting contestants. Jen M was terrible and should never had made it to the final, IMO. Also, this season had the worst firing ever (Pamela).<br /><br />Season 3: Terrible. Actually, I liked the concept of book smarts vs. street smarts, but the cast was so utterly terrible (it turned out that Trump hated the cast as well) that the whole season was a total disaster. Best moments was the second episode (motel renovation), with PM Brian fired, a guy who added nothing but huge amounts of comedy value.<br /><br />Season 4: An excellent season, much because of the interesting and entertaining contestants this season (especially Randall, Alla, Marcus and the total disaster whose name was Toral). The ""Take me out to the Boardroom"" episode is one of the absolute classics of this show, ending with the well-remembered quadruple firing. Sadly, I think we got robbed for the Randall vs. Alla final. I think Trump was afraid that she could have won, and prevented that from happening.<br /><br />Season 5: A boring season with really no special things to it. Brent was just an embarrassment and obviously only there to create drama. The tasks were terrible overall (how has creating a jingle anything to do with business at all?). I guess the best man won, but personally I couldn't care less.<br /><br />Season 6: I can see why they wanted to try out L.A. as a new location for the show, but looking back it was a mistake. New York will always be the place for this. This season added so many new things, most of them terrible (like losing team having to sleep outside in tents, winning PM continues to be PM ,for example). The tasks were terrible and Trump also chose the wrong winner. James deserved it, no doubt.<br /><br />Season 7: Celebrity edition. Best season ever. Totally different rules (like the use of rolodexes), but all fun and entertainment. The biggest problem was that many of the contestants were not real celebrities at all, especially the women where everyone were unknown to me except for Omarosa, who is a total disgrace to everything she takes part in. This looked to be Gene Simmon's season, but after he made a complete fool of himself during the Kodak task , another man emerged from the shadows: Piers Morgan. Never has anyone dominated a season like he did. He crushed his opponents and also came across as a guy with a great sense of humor (although some uptight Americans (not all Americans, of course, don't take me wrong) sadly didn't have the social skills to understand it). WAY TO GO PIERS!!<br /><br />For fans of this i highly recommend the UK version starring Sir Alan Sugar as the boss. In fact, the British version is way better, and that says something since the American (and original) truly is a great show. One thing about the UK version is that the contestants normally tend to behave like decent human beings in the boardroom, unlike the constant yelling and rude behavior that takes place in the US version.",positive
"Quirky, independent, theatrical, Christian Slater--these are all teasers that made me look forward to spending an hour or so ""discovering"" a jewel of a film. Boy, was I disappointed. Julian Po never gets over itself. The film is relentlessly self-conscious. I found myself unable to suspend disbelief for even a moment. The overdone, obviously theatrical sets, the overdone, obviously theatrical acting, the overdone, obviously theatrical directing -- well, you get the idea. <br /><br />Allegories do not need to be delivered sledge hammer style. And it's hard to feel much of anything for Julian Po because we never know much about him. The ridiculous girlfriend, the annoying townsfolk, the idiotic clergyman, the bratty kids -- why would anyone, particularly anyone with a life long ambition to get to the seaside (Slater's character), decide to stay in such a dismal place?",positive
"I'm not sure this film could ever match the first one, even if it starred the original seven (notwithstanding the fact that four were killed). It just doesn't have the spark and chemistry. All the actors seem tired and look as if they are just going through the motions to get their paychecks.<br /><br />It's interesting how Yul Brynner is ""magnificent"" in the original film but stiff and unconvincing in this sequel. Yet when he stars in Westworld and Futureworld in the 1970s his character (in the same matching black pants, shirt and hat) evokes the same mystery and presence of the 1960 film's Chris Adams.<br /><br />There's nothing in this 1966 flick to make it worth watching, even on cable.",negative
